genres,title,release_date,discount_price,price
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018-01-04,4.49,4.99
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018-01-04,0.0,0.0
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017-07-24,0.0,0.0
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017-12-07,0.8300000000000001,0.99
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018-01-04,0.0,3.99
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018-01-04,0.0,9.99
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018-01-04,0.0,18.99
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018-01-04,0.0,29.99
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,2018-01-04,0.0,0.0
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,8.79,10.99
"['Casual', 'Indie']",Beach Rules,2018-01-04,0.0,3.99
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018-01-03,0.0,2.99
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018-01-03,0.0,1.5899999999999999
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018-01-03,0.0,14.99
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018-01-03,1.5899999999999999,1.99
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018-01-03,0.0,59.99
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018-01-03,0.59,0.99
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017-12-22,0.0,2.99
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017-12-23,0.0,2.99
"['Action', 'Indie']",DinoBlaster,2018-01-03,0.0,4.99
,Robotpencil Presents: Understanding 3D for Concept,2018-01-03,0.0,4.99
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997-06-30,0.0,9.99
['Action'],Half-Life,1998-11-08,0.0,9.99
"['Action', 'Indie', 'RPG']",Fallen Mage,2016-11-25,0.0,1.99
"['Casual', 'Indie', 'Strategy']",Lost Cities,2018-01-01,0.0,0.0
['Action'],Twisted Enhanced Edition,2018-01-01,0.0,0.0
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018-01-01,0.84,0.99
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,2018-01-01,0.0,0.0
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,2017-12-30,0.0,0.0
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018-01-01,7.19,8.99
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018-01-01,0.0,0.99
['Strategy'],Disciples II: Gallean's Return,2006-07-06,0.0,6.99
['Strategy'],Disciples II: Rise of the Elves,2006-07-06,0.0,6.99
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006-07-11,0.0,9.99
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017-12-29,6.79,7.99
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,2018-03-30,0.0,0.0
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017-12-29,9.89,10.99
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017-12-29,5.99,9.99
"['Action', 'Indie']",Orbitality,2017-12-29,5.99,9.99
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017-12-30,0.0,1.99
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,0.0,0.99
['Action'],Advent Rising,2005-08-09,0.0,9.99
"['Indie', 'Strategy']",DEFCON,2006-09-29,0.0,9.99
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006-11-20,0.0,9.99
"['Indie', 'Simulation']",Garry's Mod,2006-11-29,0.0,9.99
['Racing'],RACE - The WTCC Game,2006-11-24,0.0,39.99
"['Casual', 'Indie']",Zen of Sudoku,2006-12-14,0.0,0.0
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006-12-19,0.0,4.99
['Strategy'],Ghost Master®,2003-08-23,0.0,4.99
['Strategy'],Vegas: Make It Big™,2006-12-21,0.0,4.99
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006-04-17,0.0,19.99
['Racing'],FlatOut 2™,2006-08-01,0.0,9.99
['Racing'],FlatOut,2005-07-12,0.0,7.49
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007-06-26,0.0,14.99
